"","dept_e","visible_minority","yes","no","notSure","anscount","A.psychologically.healthy.workplace","A.safe.and.healthy.workplace","Anti.racism","Discrimination","Diversity.and.inclusion","Duty.to.accommodate","Employee.Engagement","Empowerment","Ethical.workplace","Harassment","Immediate.supervisor","Job.fit.and.development","Organizational.goals","Organizational.performance","Pay.or.other.compensation.issues","Performance.management","Physical.environment.and.equipment","Senior.management","Use.of.official.languages","Work.life.balance.and.workload","Work.related.stress","Support.to.resolve.pay.or.other.compensation.issues"
"44","Public Prosecution Service of Canada","Black",17,44,39,18,69.25,79.3333333333333,48,37.3333333333333,76,40.3333333333333,66.2857142857143,66.5,58.25,46.5,73.3333333333333,40.875,69.5,27.6666666666667,22,61,63,67.5,74.5,59.5,28.9259259259259,NA
"45","Public Safety Canada","Black",54,11,35,28,62,81.5555555555556,47.3333333333333,36.6666666666667,69.3333333333333,40.6666666666667,66.8571428571429,65.5,49,38.3333333333333,80.3333333333333,33.5,71,43.5555555555556,19,74.3333333333333,78.3333333333333,52.75,67.5,65.75,13.4814814814815,NA
"46","Public Service","Black",33,29,39,7228,73,81.8181818181818,44.5,18.3404255319149,76,51.3333333333333,75.1428571428571,67.75,64.25,23.5,79,38.625,84.5,27.3333333333333,29.3333333333333,75.6666666666667,81.3333333333333,70.25,83.5,68,14.7037037037037,39
"47","Public Service Commission of Canada","Black",52,8,40,31,65.75,78.2222222222222,43,8.94117647058824,58.8333333333333,32.6666666666667,55.7142857142857,49.75,46.5,24.3333333333333,65.6666666666667,32.375,80.5,27.7777777777778,22.5,59.3333333333333,59,53.75,78.5,60.75,17.4074074074074,NA
"48","Public Services and Procurement Canada","Black",28,34,39,451,79.2,86.0909090909091,44,26.3181818181818,79.5,51.1666666666667,77.8571428571429,70.75,66.75,34.0869565217391,80.3333333333333,39.75,86,29.3333333333333,26.3333333333333,77.6666666666667,85.3333333333333,77.5,88.5,69,14.2592592592593,42.5
"49","Royal Canadian Mounted Police","Black",38,17,45,73,70,81.8888888888889,48.3333333333333,20.125,66,34,66,60.5,52,20.7692307692308,73,36.375,79,27.5555555555556,32.3333333333333,70.6666666666667,85,58.5,71.5,63.75,15.7777777777778,24
"50","Shared Services Canada","Black",32,30,38,148,77.6,85.1818181818182,47.5,33.6470588235294,78,48.3333333333333,73.8571428571429,68.75,67.5,44.4210526315789,81.6666666666667,39.625,86,28.1111111111111,32.3333333333333,79,80,69.25,86,66.5,15.2222222222222,32
"51","Social Sciences and Humanities Research Council of Canada","Black",15,17,68,18,66.25,82.2222222222222,43,26,69.6666666666667,35.3333333333333,67.8571428571429,67.75,46.25,37,72,32.625,92.5,22.5555555555556,10.5,77,82.6666666666667,72.25,73.5,62.5,18.5185185185185,NA
"52","Statistical Survey Operations","Black",33,20,47,50,65.25,81.1111111111111,65.3333333333333,70.5,76.1666666666667,33.3333333333333,75.2857142857143,56.75,69,67.5,71,36.875,84,19,6,71.6666666666667,89.6666666666667,86.5,86.5,66.75,9.62962962962963,NA
"53","Statistics Canada","Black",26,32,42,138,80.2,85.8181818181818,44.5,51,81.6666666666667,50,80,74.25,64.75,29.7272727272727,82,37.375,88,24.4444444444444,21.3333333333333,81,78.6666666666667,76.5,86,73.75,10.8148148148148,46
"54","Transport Canada","Black",32,25,43,134,73.8,86.7272727272727,47.5,25.5,75.5,47.5,78,72.75,62,37.4,78.3333333333333,39.125,85.5,25.7777777777778,31.3333333333333,77.6666666666667,86.6666666666667,75.75,80.5,66.5,12.2592592592593,19
"55","Treasury Board of Canada Secretariat","Black",42,24,34,83,71.6,80.1818181818182,55.6666666666667,31.8823529411765,76.3333333333333,45.6,72.7142857142857,73,62.75,38.8,86,38.5,84.5,33.7777777777778,25.6666666666667,80.6666666666667,74.6666666666667,71.25,84.5,68,16.3703703703704,19.5
"56","Veterans Affairs Canada","Black",36,27,37,46,77.75,86.5555555555556,53.3333333333333,42.3333333333333,71.6666666666667,55.8,74.4285714285714,59.75,68.25,43,82.3333333333333,36,89,27.6666666666667,23,74.6666666666667,78.6666666666667,68.25,84,64.75,16.8148148148148,NA
"57","Women and Gender Equality Canada","Black",39,20,41,15,76.5,80.2222222222222,71.6666666666667,61,82,35.3333333333333,73,77,62,37.3333333333333,88.6666666666667,41.125,82.5,38,24.5,80,88.6666666666667,62.5,83,65,16.3703703703704,NA
